"Country","Year","Data Source","Number of registered vehicles"
"Afghanistan"," 2013"," RS_001","655 357"
"Albania"," 2013"," RS_002","445 956"
"Algeria"," 2013"," RS_003","7 308 539"
"Andorra"," 2013"," RS_004","76 394"
"Angola"," 2013"," RS_005","581 530"
"Antigua and Barbuda"," 2013"," RS_006","29 989"
"Argentina"," 2013"," RS_007","23 120 241"
"Armenia"," 2013","  ","-"
"Australia"," 2013"," RS_008","17 180 596"
"Austria"," 2013"," RS_009","6 384 971"
"Azerbaijan"," 2012"," RS_010","1 135 936"
"Bahamas"," 2013"," RS_011","144 388"
"Bahrain"," 2013"," RS_012","545 155"
"Bangladesh"," 2014"," RS_013","2 088 566"
"Barbados"," 2013"," RS_014","112 118"
"Belarus"," 2013"," RS_015","3 900 442"
"Belgium"," 2013"," RS_016","6 993 767"
"Belize"," 2013","  ","-"
"Benin"," 2013"," RS_017","34 914"
"Bhutan"," 2014"," RS_018","68 173"
"Bolivia (Plurinational State of)"," 2012"," RS_019","1 206 743"
"Bosnia and Herzegovina"," 2013"," RS_020","881 200"
"Botswana"," 2014"," RS_021","520 793"
"Brazil"," 2013"," RS_022","81 600 729"
"Bulgaria"," 2013"," RS_023","3 502 771"
"Burkina Faso"," 2013"," RS_024","1 545 903"
"Cabo Verde"," 2013"," RS_025","56 690"
"Cambodia"," 2013"," RS_026","2 457 569"
"Cameroon"," 2013","  ","-"
"Canada"," 2012"," RS_027","22 366 270"
"Central African Republic"," 2014"," RS_028","37 475"
"Chad"," 2013"," RS_029","622 120"
"Chile"," 2013"," RS_030","4 263 084"
"China"," 2013"," RS_031","250 138 212"
"Colombia"," 2013"," RS_032","9 734 565"
"Congo"," 2012"," RS_033","110 438"
"Cook Islands"," 2013"," RS_034","12 453"
"Costa Rica"," 2013"," RS_035","1 759 341"
"C̫te d'Ivoire"," 2012"," RS_036","594 071"
"Croatia"," 2013"," RS_037","1 869 370"
"Cuba"," 2013"," RS_038","628 155"
"Cyprus"," 2013"," RS_039","644 068"
"Czechia"," 2013"," RS_040","7 689 730"
"Democratic Republic of the Congo"," 2010"," RS_041","350 000"
"Denmark"," 2013"," RS_042","2 911 147"
"Djibouti"," 2013","  ","-"
"Dominica"," 2014"," RS_043","24 620"
"Dominican Republic"," 2013"," RS_044","3 215 773"
"Ecuador"," 2013"," RS_045","1 721 206"
"Egypt"," 2013"," RS_046","7 037 954"
"El Salvador"," 2013"," RS_047","817 972"
"Eritrea"," 2014"," RS_048","70 319"
"Estonia"," 2013"," RS_049","763 975"
"Eswatini"," 2013"," RS_150","180 103"
"Ethiopia"," 2012-2013"," RS_050","478 244"
"Fiji"," 2013"," RS_051","86 535"
"Finland"," 2013"," RS_052","5 862 216"
"France"," 2014"," RS_053","42 792 103"
"Gabon"," 2010"," RS_054","195 000"
"Gambia"," 2005-2013"," RS_055","54 471"
"Georgia"," 2013"," RS_056","951 649"
"Germany"," 2013"," RS_057","52 391 000"
"Ghana"," 2012"," RS_058","1 532 080"
"Greece"," 2013"," RS_059","8 035 423"
"Guatemala"," 2013"," RS_060","2 562 925"
"Guinea"," 2011"," RS_061","33 943"
"Guinea-Bissau"," 2011-2014"," RS_062","62 239"
"Guyana"," 2013"," RS_063","15 694"
"Honduras"," 2013"," RS_064","1 378 050"
"Hungary"," 2013"," RS_065","3 690 599"
"Iceland"," 2013"," RS_066","245 949"
"India"," 2012"," RS_067","159 490 578"
"Indonesia"," 2013"," RS_068","104 211 132"
"Iran (Islamic Republic of)"," 2013"," RS_069","26 866 457"
"Iraq"," 2013"," RS_070","4 515 041"
"Ireland"," 2013"," RS_071","2 482 557"
"Israel"," 2013"," RS_072","2 850 513"
"Italy"," 2013"," RS_073","51 269 218"
"Jamaica"," 2013"," RS_074","518 239"
"Japan"," 2013"," RS_075","91 377 312"
"Jordan"," 2013"," RS_076","1 263 754"
"Kazakhstan"," 2013"," RS_077","3 926 487"
"Kenya"," 2013"," RS_078","2 011 972"
"Kiribati"," 2013"," RS_079","3 452"
"Kuwait"," 2013"," RS_080","1 841 416"
"Kyrgyzstan"," 2013"," RS_081","958 187"
"Lao People's Democratic Republic"," 2013"," RS_082","1 439 481"
"Latvia"," 2013"," RS_083","826 469"
"Lebanon"," 2013"," RS_084","1 680 011"
"Lesotho"," 2013"," RS_085","122 997"
"Liberia"," 2012"," RS_086","1 085 075"
"Libya"," 2013"," RS_087","3 553 497"
"Lithuania"," 2012"," RS_088","1 984 496"
"Luxembourg"," 2014"," RS_089","431 245"
"Madagascar"," 2013"," RS_090","219 576"
"Malawi"," 2014"," RS_091","437 416"
"Malaysia"," 2013"," RS_092","23 819 256"
"Maldives"," 2013"," RS_093","61 412"
"Mali"," 2013"," RS_094","289 828"
"Malta"," 2013"," RS_095","322 960"
"Marshall Islands"," 2013"," RS_096","2 116"
"Mauritania"," 2013"," RS_097","416 190"
"Mauritius"," 2013"," RS_098","443 495"
"Mexico"," 2013"," RS_099","35 005 913"
"Micronesia (Federated States of)"," 2010"," RS_100","8 337"
"Monaco"," 2013"," RS_101","41 055"
"Mongolia"," 2013"," RS_102","675 064"
"Montenegro"," 2013"," RS_103","201 229"
"Morocco"," 2013"," RS_104","3 286 421"
"Mozambique"," 2013"," RS_105","542 336"
"Myanmar"," 2014"," RS_106","4 310 112"
"Namibia"," 2012"," RS_107","280 583"
"Nepal"," 2011"," RS_108","1 178 911"
"Netherlands"," 2013"," RS_109","9 612 273"
"New Zealand"," 2012"," RS_110","3 250 066"
"Nicaragua"," 2013"," RS_111","566 731"
"Niger"," 2013"," RS_112","315 600"
"Nigeria"," 2013"," RS_113","5 791 446"
"Norway"," 2012"," RS_114","3 671 885"
"Oman"," 2013"," RS_115","1 082 996"
"Pakistan"," 2011"," RS_116","9 080 437"
"Palau"," 2013"," RS_117","7 102"
"Panama"," 2013"," RS_118","1 004 669"
"Papua New Guinea"," 2014"," RS_119","94 297"
"Paraguay"," 2013"," RS_120","1 227 469"
"Peru"," 2013"," RS_121","4 264 114"
"Philippines"," 2013"," RS_122","7 690 038"
"Poland"," 2012"," RS_123","24 875 717"
"Portugal"," 2012"," RS_124","6 056 856"
"Qatar"," 2013"," RS_125","647 878"
"Republic of Korea"," 2013"," RS_126","23 150 619"
"Republic of Moldova"," 2013"," RS_127","706 785"
"Romania"," 2013"," RS_128","5 985 085"
"Russian Federation"," 2013"," RS_129","50 616 163"
"Rwanda"," 2012"," RS_130","107 411"
"Saint Lucia"," 2013"," RS_131","1 569"
"Saint Vincent and the Grenadines"," 2014"," RS_132","28 368"
"Samoa"," 2013"," RS_133","17 449"
"San Marino"," 2013"," RS_134","54 606"
"Sao Tome and Principe"," 2013","  ","-"
"Saudi Arabia"," 2010"," RS_135","6 599 216"
"Senegal"," 2013"," RS_136","401 910"
"Serbia"," 2013"," RS_137","2 130 035"
"Seychelles"," 2013"," RS_138","18 606"
"Sierra Leone"," 2013"," RS_139","68 802"
"Singapore"," 2013"," RS_140","974 170"
"Slovakia"," 2013"," RS_141","2 622 939"
"Slovenia"," 2013"," RS_142","1 395 704"
"Solomon Islands"," 2013"," RS_143","45 000"
"Somalia"," 2014"," RS_144","59 457"
"South Africa"," 2013"," RS_145","9 909 923"
"Spain"," 2013"," RS_146","32 616 105"
"Sri Lanka"," 2013"," RS_147","5 203 678"
"Sudan"," 2013"," RS_148","320 974"
"Suriname"," 2012"," RS_149","207 161"
"Sweden"," 2013"," RS_151","5 755 952"
"Switzerland"," 2013"," RS_152","5 693 642"
"Tajikistan"," 2013"," RS_153","411 548"
"Thailand"," 2012"," RS_154","32 476 977"
"The former Yugoslav republic of Macedonia"," 2013"," RS_155","403 339"
"Timor-Leste"," 2006-2013"," RS_156","63 553"
"Togo"," 2011"," RS_157","58 111"
"Tonga"," 2013"," RS_158","8 154"
"Trinidad and Tobago"," 2013","  ","-"
"Tunisia"," 2013"," RS_159","1 735 339"
"Turkey"," 2013"," RS_160","17 939 447"
"Turkmenistan"," 2014"," RS_161","847 874"
"Uganda"," 2013"," RS_162","1 228 425"
"United Arab Emirates"," 2013"," RS_163","2 674 894"
"United Kingdom of Great Britain and Northern Ireland"," 2012"," RS_164","35 582 650"
"United Republic of Tanzania"," 2014"," RS_165","1 509 786"
"United States of America"," 2011"," RS_166","265 043 362"
"Uruguay"," 2013"," RS_167","1 991 836"
"Uzbekistan"," 2013","  ","-"
"Vanuatu"," 2013"," RS_168","14 000"
"Viet Nam"," 2013"," RS_169","40 790 841"
"Yemen"," 2013"," RS_171","1 201 890"
"Zambia"," 2013"," RS_172","534 532"
"Zimbabwe"," 2013"," RS_173","927 129"
