"","Estimated number of road traffic deaths","Estimated road traffic death rate (per 100 000 population)"
"Country"," 2013"," 2013"
"Afghanistan","4 734 [4 006 - 5 461]","15.5"
"Albania","478 [435 - 521]","15.1"
"Algeria","9 337 [7 985 - 10 689]","23.8"
"Andorra","6","7.6"
"Angola","5 769 [4 626 - 6 912]","26.9"
"Antigua and Barbuda","6","6.7"
"Argentina","5 619","13.6"
"Armenia","546 [503 - 588]","18.3"
"Australia","1 252","5.4"
"Austria","455","5.4"
"Azerbaijan","943","10.0"
"Bahamas","52","13.8"
"Bahrain","107","8.0"
"Bangladesh","21 316 [17 349 - 25 283]","13.6"
"Barbados","19","6.7"
"Belarus","1 282","13.7"
"Belgium","746","6.7"
"Belize","81","24.4"
"Benin","2 855 [2 398 - 3 312]","27.7"
"Bhutan","114 [98 - 130]","15.1"
"Bolivia (Plurinational State of)","2 476 [2 190 - 2 763]","23.2"
"Bosnia and Herzegovina","676 [607 - 745]","17.7"
"Botswana","477 [412 - 542]","23.6"
"Brazil","46 935","23.4"
"Brunei Darussalam","","8.0"
"Bulgaria","601","8.3"
"Burkina Faso","5 072 [4 064 - 6 080]","30.0"
"Burundi","","31.3"
"Cabo Verde","130 [113 - 147]","26.1"
"Cambodia","2 635 [2 150 - 3 120]","17.4"
"Cameroon","6 136 [5 035 - 7 236]","27.6"
"Canada","2 114","6.0"
"Central African Republic","1 495 [1 169 - 1 821]","32.4"
"Chad","3 089 [2 420 - 3 758]","24.1"
"Chile","2 179","12.4"
"China","261 367","18.8"
"Colombia","8 107","16.8"
"Comoros","","28.0"
"Congo","1 174 [976 - 1 373]","26.4"
"Cook Islands","5","24.2"
"Costa Rica","676","13.9"
"C̫te d'Ivoire","4 924 [4 043 - 5 805]","24.2"
"Croatia","395","9.2"
"Cuba","840","7.5"
"Cyprus","59","5.2"
"Czechia","654","6.1"
"Democratic People's Republic of Korea","","20.8"
"Democratic Republic of the Congo","22 419 [17 966 - 26 872]","33.2"
"Denmark","196","3.5"
"Djibouti","216 [185 - 247]","24.7"
"Dominica","11","15.3"
"Dominican Republic","3 052","29.3"
"Ecuador","3 164","20.1"
"Egypt","10 466","12.8"
"El Salvador","1 339","21.1"
"Equatorial Guinea","","22.9"
"Eritrea","1 527 [1 249 - 1 805]","24.1"
"Estonia","90","7.0"
"Eswatini","303 [263 - 343]","24.2"
"Ethiopia","23 837 [18 528 - 29 146]","25.3"
"Fiji","51","5.8"
"Finland","258","4.8"
"France","3 268","5.1"
"Gabon","383 [316 - 450]","22.9"
"Gambia","544 [438 - 650]","29.4"
"Georgia","514","11.8"
"Germany","3 540","4.3"
"Ghana","6 789 [5 877 - 7 701]","26.2"
"Greece","1 013","9.1"
"Grenada","","5.7"
"Guatemala","2 939","19.0"
"Guinea","3 211 [2 640 - 3 781]","27.3"
"Guinea-Bissau","468 [387 - 548]","27.5"
"Guyana","138","17.3"
"Haiti","","15.1"
"Honduras","1 408 [1 288 - 1 529]","17.4"
"Hungary","765","7.7"
"Iceland","15","4.6"
"India","207 551","16.6"
"Indonesia","38 279 [32 079 - 44 479]","15.3"
"Iran (Islamic Republic of)","24 896","32.1"
"Iraq","6 826 [5 507 - 8 146]","20.2"
"Ireland","188","4.1"
"Israel","277","3.6"
"Italy","3 721","6.1"
"Jamaica","320","11.5"
"Japan","5 971","4.7"
"Jordan","1 913 [1 633 - 2 193]","26.3"
"Kazakhstan","3 983","24.2"
"Kenya","12 891 [10 809 - 14 974]","29.1"
"Kiribati","3","2.9"
"Kuwait","629","18.7"
"Kyrgyzstan","1 220","22.0"
"Lao People's Democratic Republic","971 [795 - 1 147]","14.3"
"Latvia","205","10.0"
"Lebanon","1 088 [962 - 1 215]","22.6"
"Lesotho","584 [491 - 677]","28.2"
"Liberia","1 448 [1 144 - 1 752]","33.7"
"Libya","4 554 [3 973 - 5 136]","23.8"
"Lithuania","320","10.6"
"Luxembourg","46","8.7"
"Madagascar","6 506 [5 361 - 7 650]","28.4"
"Malawi","5 732 [4 606 - 6 858]","35.0"
"Malaysia","7 129 [6 050 - 8 209]","24.0"
"Maldives","12","3.5"
"Mali","3 920 [3 193 - 4 648]","25.6"
"Malta","22","5.1"
"Marshall Islands","3","5.7"
"Mauritania","952 [788 - 1 116]","24.5"
"Mauritius","152","12.2"
"Mexico","15 062","12.3"
"Micronesia (Federated States of)","2","1.9"
"Monaco","0.00000",".0"
"Mongolia","597 [538 - 656]","21.0"
"Montenegro","74","11.9"
"Morocco","6 870 [5 831 - 7 910]","20.8"
"Mozambique","8 173 [6 502 - 9 843]","31.6"
"Myanmar","10 809 [8 790 - 12 829]","20.3"
"Namibia","551 [474 - 628]","23.9"
"Nepal","4 713 [3 880 - 5 546]","17.0"
"Netherlands","574","3.4"
"New Zealand","272","6.0"
"Nicaragua","931 [843 - 1 020]","15.3"
"Niger","4 706 [3 741 - 5 670]","26.4"
"Nigeria","35 641 [27 949 - 43 332]","20.5"
"Norway","192","3.8"
"Oman","924","25.4"
"Pakistan","25 781 [20 979 - 30 582]","14.2"
"Palau","1","4.8"
"Panama","386","10.0"
"Papua New Guinea","1 232 [1 058 - 1 405]","16.8"
"Paraguay","1 408","20.7"
"Peru","4 234 [3 826 - 4 643]","13.9"
"Philippines","10 379","10.5"
"Poland","3 931","10.3"
"Portugal","828","7.8"
"Qatar","330","15.2"
"Republic of Korea","5 931","12.0"
"Republic of Moldova","437","12.5"
"Romania","1 881","8.7"
"Russian Federation","27 025","18.9"
"Rwanda","3 782 [3 022 - 4 541]","32.1"
"Saint Lucia","33","18.1"
"Saint Vincent and the Grenadines","9","8.2"
"Samoa","30 [27 - 33]","15.8"
"San Marino","1","3.2"
"Sao Tome and Principe","60 [47 - 73]","31.1"
"Saudi Arabia","7 898 [7 002 - 8 795]","27.4"
"Senegal","3 844 [3 214 - 4 474]","27.2"
"Serbia","735","7.7"
"Seychelles","8","8.6"
"Sierra Leone","1 661 [1 334 - 1 988]","27.3"
"Singapore","197","3.6"
"Slovakia","360","6.6"
"Slovenia","132","6.4"
"Solomon Islands","108 [96 - 120]","19.2"
"Somalia","2 664 [2 092 - 3 237]","25.4"
"South Africa","13 273","25.1"
"South Sudan","","27.9"
"Spain","1 730","3.7"
"Sri Lanka","3 691 [3 245 - 4 137]","17.4"
"Sudan","9 221 [7 746 - 10 697]","24.3"
"Suriname","103","19.1"
"Sweden","272","2.8"
"Switzerland","269","3.3"
"Syrian Arab Republic","","20.0"
"Tajikistan","1 543 [1 387 - 1 699]","18.8"
"Thailand","24 237","36.2"
"The former Yugoslav republic of Macedonia","198","9.4"
"Timor-Leste","188 [158 - 219]","16.6"
"Togo","2 123 [1 719 - 2 526]","31.1"
"Tonga","8","7.6"
"Trinidad and Tobago","189","14.1"
"Tunisia","2 679 [2 346 - 3 012]","24.4"
"Turkey","6 687","8.9"
"Turkmenistan","914 [844 - 983]","17.4"
"Uganda","10 280 [7 820 - 12 739]","27.4"
"Ukraine","","10.6"
"United Arab Emirates","1 021 [845 - 1 198]","10.9"
"United Kingdom of Great Britain and Northern Ireland","1 827","2.9"
"United Republic of Tanzania","16 211 [13 116 - 19 307]","32.9"
"United States of America","34 064","10.6"
"Uruguay","567","16.6"
"Uzbekistan","3 240","11.2"
"Vanuatu","42 [37 - 47]","16.6"
"Venezuela (Bolivarian Republic of)","","45.1"
"Viet Nam","22 419","24.5"
"Yemen","5 248 [4 426 - 6 069]","21.5"
"Zambia","3 586 [2 914 - 4 257]","24.7"
"Zimbabwe","3 985 [3 319 - 4 652]","28.2"
